"GEO_ID","NAME","B09001_001E","B09001_001M","B09001_002E","B09001_002M","B09001_003E","B09001_003M","B09001_004E","B09001_004M","B09001_005E","B09001_005M","B09001_006E","B09001_006M","B09001_007E","B09001_007M","B09001_008E","B09001_008M","B09001_009E","B09001_009M","B09001_010E","B09001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!In households","Margin of Error!!Total!!In households","Estimate!!Total!!In households!!Under 3 years","Margin of Error!!Total!!In households!!Under 3 years","Estimate!!Total!!In households!!3 and 4 years","Margin of Error!!Total!!In households!!3 and 4 years","Estimate!!Total!!In households!!5 years","Margin of Error!!Total!!In households!!5 years","Estimate!!Total!!In households!!6 to 8 years","Margin of Error!!Total!!In households!!6 to 8 years","Estimate!!Total!!In households!!9 to 11 years","Margin of Error!!Total!!In households!!9 to 11 years","Estimate!!Total!!In households!!12 to 14 years","Margin of Error!!Total!!In households!!12 to 14 years","Estimate!!Total!!In households!!15 to 17 years","Margin of Error!!Total!!In households!!15 to 17 years","Estimate!!Total!!In group quarters","Margin of Error!!Total!!In group quarters"
"0500000US01003","Baldwin County, Alabama","42139","458","42139","458","7890","935","3101","757","1716","644","7221","1203","7870","1416","7289","1511","7052","307","0","273"
"0500000US01015","Calhoun County, Alabama","26961","250","26961","250","3573","1061","3808","990","1003","553","4393","886","4432","1027","5281","1291","4471","73","0","273"
"0500000US01043","Cullman County, Alabama","19207","457","19207","457","3218","589","1599","467","830","515","3105","854","3128","708","3702","829","3625","460","0","273"
"0500000US01049","DeKalb County, Alabama","18544","461","18544","461","3058","604","1953","510","875","413","3227","999","3627","1043","2975","829","2829","428","0","273"
"0500000US01051","Elmore County, Alabama","18337","260","18337","260","2523","571","2348","573","1250","528","2972","543","3458","605","2412","540","3374","189","0","273"
"0500000US01055","Etowah County, Alabama","23809","270","23809","270","3854","596","1917","501","1131","516","3852","771","3285","823","5171","797","4599","187","0","273"
"0500000US01069","Houston County, Alabama","24912","156","24351","885","4402","424","2340","428","1512","327","4162","578","4813","622","3271","468","3851","621","561","870"
"0500000US01073","Jefferson County, Alabama","154109","324","153513","989","25011","1717","18708","1718","8489","1832","25924","2031","24975","2103","24272","2407","26134","1236","596","913"
"0500000US01077","Lauderdale County, Alabama","20184","590","20184","590","2861","521","2279","660","1138","593","4478","970","3746","967","2017","682","3665","209","0","273"
"0500000US01081","Lee County, Alabama","31653","*****","31653","3","5267","748","3770","696","1332","706","4944","1095","6200","965","4847","924","5293","159","0","273"
"0500000US01083","Limestone County, Alabama","20037","228","20037","228","3626","751","2151","691","1406","669","2921","670","3625","701","2997","796","3311","320","0","273"
"0500000US01089","Madison County, Alabama","79680","110","79680","110","12919","1309","8163","1251","3924","977","14617","1711","11337","1461","14455","1618","14265","243","0","273"
"0500000US01095","Marshall County, Alabama","23955","623","23955","623","3742","864","3200","958","1491","621","3061","1015","4294","1117","3782","880","4385","877","0","273"
"0500000US01097","Mobile County, Alabama","103232","*****","103232","6","17226","1654","11319","1473","5471","1334","14762","1695","18933","1975","17165","1937","18356","512","0","273"
"0500000US01101","Montgomery County, Alabama","55814","4","55325","776","9751","1039","6092","1074","3090","800","9072","1597","10122","1201","7765","1319","9433","783","489","776"
"0500000US01103","Morgan County, Alabama","28505","231","28505","231","3850","734","3051","579","1269","476","4759","791","4129","759","6265","941","5182","239","0","273"
"0500000US01115","St. Clair County, Alabama","19853","1175","19853","1175","3057","1002","2480","1015","712","547","3411","999","3290","950","3200","898","3703","357","0","273"
"0500000US01117","Shelby County, Alabama","50120","191","50032","236","7677","755","5489","767","2302","712","8442","1051","9183","929","8744","1094","8195","373","88","145"
"0500000US01121","Talladega County, Alabama","19210","*****","19066","223","2600","561","2216","575","421","258","2402","608","4899","847","3212","661","3316","160","144","223"
"0500000US01125","Tuscaloosa County, Alabama","42538","359","42538","359","8286","911","4508","898","2691","798","5602","996","7654","1019","6985","1092","6812","205","0","273"
"0500000US01127","Walker County, Alabama","15054","128","15054","128","2534","433","1092","488","1315","674","3296","748","2363","704","1877","640","2577","325","0","273"
"0500000US21015","Boone County, Kentucky","33581","497","33581","497","4867","840","3898","832","2097","806","6400","1032","5697","742","5212","1001","5410","498","0","271"
"0500000US21029","Bullitt County, Kentucky","18789","*****","18789","2","2550","608","1832","627","906","476","3082","647","3598","707","3124","835","3697","343","0","271"
"0500000US21037","Campbell County, Kentucky","20647","582","20647","582","3633","870","2507","785","1093","523","3241","851","3084","686","3566","924","3523","309","0","271"
"0500000US21047","Christian County, Kentucky","18369","1619","18369","1619","3602","577","2876","562","1409","588","3031","781","3092","606","2280","682","2079","390","0","271"
"0500000US21059","Daviess County, Kentucky","23636","342","22975","705","3196","869","3331","626","940","487","3871","904","4292","857","3628","780","3717","484","661","658"
"0500000US21067","Fayette County, Kentucky","62749","266","62749","266","11103","1120","7605","1168","3118","925","10315","1546","10901","1486","9863","1243","9844","339","0","271"
"0500000US21093","Hardin County, Kentucky","26695","468","25824","1552","4673","875","3453","839","1237","521","4137","908","5368","1330","3769","810","3187","1601","871","1463"
"0500000US21111","Jefferson County, Kentucky","171645","231","171360","478","28519","1473","20095","1461","9259","1346","27600","2223","28846","2426","29547","2566","27494","267","285","423"
"0500000US21117","Kenton County, Kentucky","39988","160","39426","707","6563","864","4866","828","1705","590","7424","1002","6946","953","5984","840","5938","464","562","690"
"0500000US21145","McCracken County, Kentucky","14810","557","14810","557","2336","442","1854","664","1517","691","1946","635","2748","701","1823","672","2586","308","0","271"
"0500000US21151","Madison County, Kentucky","17681","367","17583","397","3355","573","1932","706","687","429","2673","834","2938","747","3144","841","2854","345","98","125"
"0500000US21195","Pike County, Kentucky","14475","366","14475","366","1916","389","1703","389","711","315","2829","834","2755","869","2026","523","2535","97","0","271"
"0500000US21227","Warren County, Kentucky","26118","196","26047","213","4883","746","2452","693","2087","712","4660","1016","3987","844","4137","947","3841","447","71","90"
"0500000US29019","Boone County, Missouri","34263","222","34206","241","6558","704","3770","682","1796","724","5163","817","6207","1070","5496","1121","5216","252","57","95"
"0500000US29021","Buchanan County, Missouri","20936","134","20893","161","3492","537","2787","847","1341","614","3261","651","3915","857","2511","690","3586","530","43","70"
"0500000US29031","Cape Girardeau County, Missouri","16738","80","16738","80","2599","486","2346","808","810","448","3005","621","3037","887","2200","717","2741","220","0","259"
"0500000US29037","Cass County, Missouri","26470","174","26470","174","4196","541","2418","562","1722","623","4612","941","4881","887","4126","668","4515","339","0","259"
"0500000US29043","Christian County, Missouri","21264","*****","21264","3","3210","583","2555","523","1279","500","2924","778","4666","927","3143","908","3487","385","0","259"
"0500000US29047","Clay County, Missouri","57086","214","56476","948","9309","849","6898","850","3022","713","10310","1245","10365","1272","8141","1109","8431","824","610","928"
"0500000US29051","Cole County, Missouri","15905","2454","15905","2454","2794","969","1572","687","708","302","2020","745","2926","603","3173","639","2712","442","0","259"
"0500000US29071","Franklin County, Missouri","24539","186","24539","186","3031","654","3046","650","1437","568","4586","922","2613","552","5416","1102","4410","139","0","259"
"0500000US29077","Greene County, Missouri","58199","257","58040","282","9830","1191","6900","1087","2589","745","9688","1304","9283","1132","10638","1648","9112","805","159","146"
"0500000US29095","Jackson County, Missouri","165392","*****","164816","896","28607","1650","19194","1612","9474","1693","29537","2174","26317","2258","24984","2375","26703","999","576","896"
"0500000US29097","Jasper County, Missouri","30383","569","29775","1121","4954","796","4257","990","1453","509","5153","890","4680","720","4776","718","4502","717","608","974"
"0500000US29099","Jefferson County, Missouri","54903","561","54903","561","9225","1051","5150","1058","4483","1049","9055","1320","8337","1067","9153","1182","9500","400","0","259"
"0500000US29165","Platte County, Missouri","22168","85","22168","85","3043","620","2342","574","1615","460","3233","578","4061","665","3840","728","4034","337","0","259"
"0500000US29183","St. Charles County, Missouri","92523","156","92523","156","13440","1212","10758","1211","5268","1097","15371","1397","16012","1609","15992","1405","15682","462","0","259"
"0500000US29187","St. Francois County, Missouri","14140","900","14140","900","2435","777","1076","531","803","394","2589","782","1982","711","2796","802","2459","334","0","259"
"0500000US29189","St. Louis County, Missouri","233134","365","232428","919","33393","1918","25088","1917","11528","1463","35889","2471","40344","2938","42267","3162","43919","486","706","863"
"0500000US29510","St. Louis city, Missouri","67569","91","67237","357","12425","1189","8097","1222","3317","992","9981","1456","10831","1411","10919","1724","11667","434","332","338"
"0500000US45003","Aiken County, South Carolina","37005","394","37005","394","5473","736","4496","721","1767","687","6128","885","7384","1046","5530","1046","6227","275","0","296"
"0500000US45007","Anderson County, South Carolina","44770","206","44770","206","6476","941","5461","939","2562","782","7142","1254","7319","1144","8557","1221","7253","104","0","296"
"0500000US45013","Beaufort County, South Carolina","34405","298","34303","301","7370","996","3408","996","2109","743","5404","1129","6119","1070","5232","1032","4661","280","102","164"
"0500000US45015","Berkeley County, South Carolina","43665","316","43633","317","7025","1124","5901","1062","2356","985","7799","1255","7503","1264","6179","1328","6870","179","32","53"
"0500000US45019","Charleston County, South Carolina","72939","363","72157","1118","13239","1138","9897","1176","4546","1029","10608","1251","12549","1223","10630","1487","10688","840","782","1054"
"0500000US45031","Darlington County, South Carolina","16613","*****","16613","2","3078","704","1263","704","711","433","3174","825","2467","807","2925","723","2995","2","0","296"
"0500000US45035","Dorchester County, South Carolina","37396","365","37396","365","4666","897","5164","897","2156","737","5455","1022","5567","1076","7661","1418","6727","449","0","296"
"0500000US45041","Florence County, South Carolina","33771","151","33771","151","5705","742","3586","828","1984","790","4183","951","5880","1242","6548","1295","5885","162","0","296"
"0500000US45045","Greenville County, South Carolina","109556","156","109045","910","18698","1562","12800","1566","6168","1149","17016","1816","18768","1908","17532","2257","18063","640","511","920"
"0500000US45047","Greenwood County, South Carolina","16475","*****","16475","4","3304","443","1411","443","783","526","3140","1237","3166","813","2962","810","1709","74","0","296"
"0500000US45051","Horry County, South Carolina","54325","284","54325","284","9015","1184","6035","1193","2608","955","9681","1312","8680","1297","9338","1412","8968","390","0","296"
"0500000US45057","Lancaster County, South Carolina","17855","*****","17855","4","3348","384","1797","423","452","318","2926","793","2706","752","3725","1005","2901","114","0","296"
"0500000US45059","Laurens County, South Carolina","15387","*****","15387","2","2426","727","1904","647","419","285","3047","707","2184","743","2490","948","2917","502","0","296"
"0500000US45063","Lexington County, South Carolina","64339","113","64297","149","10769","1157","6856","1151","3258","943","12311","1672","11338","1644","9400","1224","10365","339","42","69"
"0500000US45073","Oconee County, South Carolina","15500","646","15500","646","2540","542","1448","762","265","246","2333","574","3458","826","2301","786","3155","504","0","296"
"0500000US45075","Orangeburg County, South Carolina","21715","295","21559","356","4078","767","2257","674","733","544","2969","1264","4768","1190","2950","783","3804","293","156","257"
"0500000US45077","Pickens County, South Carolina","24355","508","24355","508","3561","674","3361","590","1257","562","3971","934","4328","1046","3852","855","4025","319","0","296"
"0500000US45079","Richland County, South Carolina","87869","424","86983","727","14422","1387","10392","1464","3759","1004","14084","2111","15650","1719","14303","2180","14373","832","886","624"
"0500000US45083","Spartanburg County, South Carolina","69326","428","69326","428","10879","1340","7188","1088","2947","742","12174","1355","12397","1511","11787","1338","11954","213","0","296"
"0500000US45085","Sumter County, South Carolina","28365","569","28365","569","4369","1379","4036","1066","2115","732","4792","1509","4329","895","4149","942","4575","312","0","296"
"0500000US45091","York County, South Carolina","57767","158","57767","158","8720","1012","6663","1036","2822","1003","10427","1780","8893","1488","10764","1540","9478","428","0","296"
"0500000US48005","Angelina County, Texas","23214","*****","22312","1387","2991","537","3428","599","953","593","4726","990","3757","1017","3151","933","3306","722","902","1388"
"0500000US48021","Bastrop County, Texas","19772","1828","19772","1828","1637","580","3215","835","1480","619","5004","1400","2579","723","3242","1021","2615","969","0","294"
"0500000US48027","Bell County, Texas","89090","1182","88129","1769","18660","1938","10634","1401","4813","1091","15102","1821","13669","1758","12869","1653","12382","926","961","1382"
"0500000US48029","Bexar County, Texas","467285","*****","466446","981","75060","2999","55426","2957","25649","2186","79359","4822","79724","3718","75051","4165","76177","606","839","981"
"0500000US48037","Bowie County, Texas","22420","199","22420","199","3358","837","2732","815","908","506","3349","839","4511","758","3635","1033","3927","4","0","294"
"0500000US48039","Brazoria County, Texas","87279","254","87173","295","15621","1648","9060","1648","3574","996","15255","2038","12425","1340","17237","2119","14001","410","106","125"
"0500000US48041","Brazos County, Texas","39911","99","39521","566","7999","707","4589","782","2266","684","6919","1085","6517","1208","5465","1236","5766","317","390","547"
"0500000US48061","Cameron County, Texas","134764","375","134621","415","20912","1597","14967","1651","7506","1270","21639","1982","22987","2196","24498","2531","22112","236","143","180"
"0500000US48085","Collin County, Texas","226150","*****","225968","213","35764","1915","23566","1894","14586","1798","40623","2891","39949","2514","36112","2591","35368","325","182","213"
"0500000US48091","Comal County, Texas","25769","175","25769","175","3395","633","2755","649","947","458","3898","1031","5267","976","4986","877","4521","4","0","294"
"0500000US48099","Coryell County, Texas","20940","511","20940","511","3857","540","2666","540","1532","656","3105","875","3465","834","3718","1088","2597","644","0","294"
"0500000US48113","Dallas County, Texas","656198","50","655355","927","108451","3542","84820","3536","32940","3245","113638","5663","108020","4613","103921","4127","103565","955","843","932"
"0500000US48121","Denton County, Texas","183468","248","183123","393","29472","1728","20541","1666","10858","1945","28611","2799","32862","2485","32698","2532","28081","357","345","278"
"0500000US48135","Ector County, Texas","39931","298","39931","298","6862","814","5029","854","2096","699","7498","999","5721","1220","6497","1140","6228","169","0","294"
"0500000US48139","Ellis County, Texas","43521","*****","43521","11","5985","836","4961","836","2862","942","7003","1325","7145","1145","7927","1415","7638","560","0","294"
"0500000US48141","El Paso County, Texas","241479","*****","241118","464","37222","2156","27031","2159","14459","1920","40288","2780","39134","2767","40845","2972","42139","336","361","463"
"0500000US48157","Fort Bend County, Texas","175077","*****","174677","688","26473","1835","17597","1873","10292","1807","28753","2313","32899","2351","28355","3213","30308","550","400","688"
"0500000US48167","Galveston County, Texas","74389","*****","74389","8","11866","1382","8176","1381","3788","952","10991","1453","13161","1432","13685","1556","12722","235","0","294"
"0500000US48181","Grayson County, Texas","29327","434","29327","434","4199","611","3865","624","812","368","4516","1169","5297","999","5690","1091","4948","492","0","294"
"0500000US48183","Gregg County, Texas","30860","177","30860","177","5189","800","3781","776","1039","460","5573","1137","5441","1062","4698","1005","5139","206","0","294"
"0500000US48187","Guadalupe County, Texas","36613","*****","36613","5","5585","673","3604","633","1885","613","6763","1029","5396","960","6927","1134","6453","5","0","294"
"0500000US48201","Harris County, Texas","1151063","483","1149848","920","202687","4765","134069","4775","64041","4411","194805","6398","191381","6081","179317","5835","183548","595","1215","906"
"0500000US48203","Harrison County, Texas","16962","*****","16962","4","2689","539","1993","539","791","429","2234","771","4034","719","2305","671","2916","483","0","294"
"0500000US48209","Hays County, Texas","38616","198","38409","201","5275","907","5094","853","1715","696","6746","1163","7634","1166","5950","1092","5995","295","207","158"
"0500000US48213","Henderson County, Texas","17731","107","17731","107","3025","596","1407","519","478","390","3514","777","3169","669","3063","685","3075","498","0","294"
"0500000US48215","Hidalgo County, Texas","270275","529","270275","529","43840","2497","30797","2489","15509","1959","48230","3597","47137","3062","41561","3011","43201","553","0","294"
"0500000US48231","Hunt County, Texas","21646","277","21174","725","3172","669","2944","676","849","387","3767","864","4674","994","2619","645","3149","432","472","705"
"0500000US48245","Jefferson County, Texas","60198","220","60127","245","11092","1076","6082","1173","3115","902","9771","1494","9666","1525","9225","1569","11176","604","71","118"
"0500000US48251","Johnson County, Texas","40882","375","40882","375","6599","934","4031","932","2293","788","7247","1446","5954","1291","7700","1955","7058","376","0","294"
"0500000US48257","Kaufman County, Texas","29852","301","29852","301","4775","745","3010","722","2036","663","5013","922","4735","989","5208","816","5075","148","0","294"
"0500000US48291","Liberty County, Texas","19461","109","19461","109","3308","655","2197","606","997","495","3990","867","3209","791","2489","657","3271","558","0","294"
"0500000US48303","Lubbock County, Texas","67984","144","67984","144","12039","1304","8258","1251","4184","1169","10130","1690","10773","1508","11991","1481","10609","342","0","294"
"0500000US48309","McLennan County, Texas","60019","183","59626","548","8895","1117","8054","1171","4122","979","9295","1286","9429","1226","9974","1300","9857","609","393","576"
"0500000US48329","Midland County, Texas","37321","192","37321","192","6635","946","4057","812","2263","815","5001","1060","6666","1285","6552","1373","6147","240","0","294"
"0500000US48339","Montgomery County, Texas","126745","*****","126745","10","19317","1457","14093","1457","8489","1662","20953","2002","20500","1766","22273","2086","21120","267","0","294"
"0500000US48355","Nueces County, Texas","88455","151","88455","151","13817","1255","10524","1299","4708","1222","13666","2120","16561","1939","15003","2216","14176","288","0","294"
"0500000US48361","Orange County, Texas","20799","164","20799","164","2849","785","2313","640","518","290","4237","1117","4559","989","2866","855","3457","314","0","294"
"0500000US48367","Parker County, Texas","29053","895","29053","895","4158","683","2906","692","1728","705","4907","815","5120","840","5088","871","5146","301","0","294"
"0500000US48375","Potter County, Texas","33628","93","33628","93","5977","1023","4175","1058","2121","763","4967","1021","5715","1141","5692","864","4981","201","0","294"
"0500000US48381","Randall County, Texas","30194","*****","29793","669","5286","831","2887","843","1622","694","5710","1079","4647","902","4873","996","4768","487","401","669"
"0500000US48397","Rockwall County, Texas","23534","306","23534","306","3174","547","2330","580","1517","627","4413","944","4001","828","4696","822","3403","365","0","294"
"0500000US48409","San Patricio County, Texas","18185","*****","18185","5","2351","668","2431","660","462","312","4343","773","3077","643","2354","601","3167","90","0","294"
"0500000US48423","Smith County, Texas","54236","524","54179","525","10156","950","4846","916","3236","917","9485","1167","8659","1289","8827","1296","8970","348","57","93"
"0500000US48439","Tarrant County, Texas","508999","*****","508785","169","86757","3599","56879","3596","30338","3043","87160","4139","81496","3925","85077","4669","81078","394","214","169"
"0500000US48441","Taylor County, Texas","32319","261","31877","877","6101","734","3903","698","1130","566","5077","1191","5281","1144","5928","1057","4457","423","442","868"
"0500000US48451","Tom Green County, Texas","25932","367","25932","367","4834","571","2785","579","1353","516","4637","1008","4578","966","3611","820","4134","281","0","294"
"0500000US48453","Travis County, Texas","246559","*****","245937","816","44211","1988","31849","1987","13610","2030","45887","2700","39104","2390","35899","3053","35377","766","622","815"
"0500000US48469","Victoria County, Texas","23234","153","23234","153","4311","691","2352","759","1174","606","4862","748","3688","686","3211","750","3636","211","0","294"
"0500000US48471","Walker County, Texas","11394","*****","11394","11","1946","726","1209","462","1668","772","1498","526","1071","499","2031","904","1971","807","0","294"
"0500000US48479","Webb County, Texas","88084","256","88084","256","13306","1313","11219","1285","5302","1187","13802","1624","16647","2048","13579","1556","14229","236","0","294"
"0500000US48485","Wichita County, Texas","30251","357","30251","357","3729","898","4741","834","2020","783","4854","1021","4254","977","6032","1215","4621","393","0","294"
"0500000US48491","Williamson County, Texas","122475","90","122475","90","20939","1606","13177","1601","5460","1175","19061","2003","23519","1982","21742","2412","18577","108","0","294"
"0500000US54003","Berkeley County, West Virginia","26461","209","26461","209","4394","641","2736","580","1617","702","3586","964","4668","887","5166","919","4294","421","0","269"
"0500000US54011","Cabell County, West Virginia","18889","330","18753","383","2945","546","2461","599","1135","538","2517","680","3453","834","3382","741","2860","223","136","230"
"0500000US54033","Harrison County, West Virginia","15155","*****","14605","623","2415","566","1639","533","1158","483","2240","662","2009","649","2617","704","2527","419","550","622"
"0500000US54039","Kanawha County, West Virginia","39765","370","39579","477","7084","846","3624","789","1752","723","9406","1273","4952","964","6391","1067","6370","292","186","292"
"0500000US54061","Monongalia County, West Virginia","15149","463","14854","563","2030","563","2142","689","706","447","2578","720","2490","687","2394","870","2514","401","295","276"
"0500000US54081","Raleigh County, West Virginia","16379","114","16379","114","2754","555","1667","454","640","383","2544","674","3353","783","2685","670","2736","311","0","269"
"0500000US54107","Wood County, West Virginia","18950","151","18950","151","3133","474","1786","485","1031","427","3581","584","3207","701","2882","653","3330","154","0","269"
